State,Abbr,Lean
Alabama,AL,-29.59438
Alaska,AK,-14.62028
Arizona,AZ,-7.58754
Arkansas,AR,-31.83641
California,CA,25.45492
Colorado,CO,6.367356
Connecticut,CT,12.13077
Delaware,DE,13.7246
Florida,FL,-7.603365
Georgia,GA,-7.432655
Hawaii,HI,31.64859
Idaho,ID,-36.9668
Illinois,IL,13.44461
Indiana,IN,-19.98048
Iowa,IA,-9.679443
Kansas,KS,-20.68411
Kentucky,KY,-27.10645
Louisiana,LA,-20.53777
Maine,ME,4.045471
Maryland,MD,25.89621
Massachusetts,MA,32.63558
Michigan,MI,-1.645566
Minnesota,MN,1.930285
Mississippi,MS,-20.30344
Missouri,MO,-21.22918
Montana,MT,-19.98505
Nebraska,NE,-24.83943
Nevada,NV,-2.54994
New Hampshire,NH,0.3410335
New Jersey,NJ,11.96593
New Mexico,NM,7.024009
New York,NY,19.95745
North Carolina,NC,-4.803924
North Dakota,ND,-37.24163
Ohio,OH,-12.35004
Oklahoma,OK,-37.20762
Oregon,OR,10.5522
Pennsylvania,PA,-2.898966
Rhode Island,RI,24.01542
South Carolina,SC,-18.63975
South Dakota,SD,-32.23668
Tennessee,TN,-29.41324
Texas,TX,-11.98431
Utah,UT,-26.3219
Vermont,VT,27.54904
Virginia,VA,4.63189
Washington,WA,12.43642
West Virginia,WI,-35.53008
Wisconsin,WV,-4.120129
Wyoming,WY,-49.73126
